Cu,Mn,Mg,Fe,Si,Zn,Zr,strength
3.6,0.30000000000000004,1.2000000000000002,0.30000000000000004,0.2,0.2,0.2,381.92
3.7,0.30000000000000004,1.1,0.1,0.2,0.30000000000000004,0.0,393.46
3.8,0.1,1.2000000000000002,0.2,0.2,0.2,0.2,386.3
3.8,0.5,1.0,0.2,0.2,0.1,0.0,388.62
3.6,0.1,1.2000000000000002,0.4,0.5000000000000001,0.1,0.0,364.03
3.7,0.2,1.4000000000000004,0.4,0.4000000000000001,0.1,0.0,374.59
3.8,0.1,1.3000000000000005,0.1,0.2,0.2,0.1,394.85
3.6,0.5,1.0,0.4,0.5000000000000001,0.30000000000000004,0.0,381.88
3.8,0.1,1.3000000000000005,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,386.07
3.8,0.1,1.3000000000000005,0.4,0.2,0.1,0.0,375.81
3.7,0.1,1.3000000000000005,0.2,0.2,0.30000000000000004,0.1,381.83
3.6,0.5,1.4000000000000004,0.4,0.2,0.30000000000000004,0.1,387.7
3.7,0.5,1.0,0.4,0.5000000000000001,0.2,0.1,385.05
3.6,0.1,1.0,0.30000000000000004,0.4000000000000001,0.2,0.0,372.04
3.7,0.1,1.0,0.2,0.2,0.2,0.0,379.49
3.6,0.5,1.1,0.4,0.2,0.2,0.0,376.4
