Cu,Mn,Mg,Fe,Si,Zn,Zr,mean_sum,standard_deviation,ei_ego,ei_kg
3.6,0.30000000000000004,1.2000000000000002,0.30000000000000004,0.2,0.2,0.2,391.30116548516366,0.3146044927822288,3.2973018920408688,7.9561442799072815
3.7,0.30000000000000004,1.1,0.1,0.2,0.30000000000000004,0.0,394.9254200737519,0.2942232944815373,3.4493448809829843,8.57775112275312
3.8,0.1,1.2000000000000002,0.2,0.2,0.2,0.2,392.44128692007445,0.3152056246600523,3.536850314428282,8.406527815914007
3.8,0.5,1.0,0.2,0.2,0.1,0.0,393.08036770278,0.3160618975822274,3.691463496413898,8.686001504404139
3.6,0.1,1.2000000000000002,0.4,0.5000000000000001,0.1,0.0,392.8461966525488,0.3196256919539792,3.7448553428579663,8.731509187448493
3.7,0.2,1.4000000000000004,0.4,0.4000000000000001,0.1,0.0,392.8356685370178,0.3206785035070709,3.772838100658432,8.767770206494081
3.8,0.1,1.3000000000000005,0.1,0.2,0.2,0.1,394.5386346015357,0.32028579435241805,4.129064951691991,9.431849853296397
3.6,0.5,1.0,0.4,0.5000000000000001,0.30000000000000004,0.0,393.3334680055293,0.3493900348605393,4.733771895522948,10.071242505370005
3.8,0.1,1.3000000000000005,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.0,393.32591701645583,0.3501451337678873,4.7550855233644,10.097430726921175
3.8,0.1,1.3000000000000005,0.4,0.2,0.1,0.0,391.75910236024697,0.3644689712919842,4.829377742328691,10.027994431874182
3.7,0.1,1.3000000000000005,0.2,0.2,0.30000000000000004,0.1,393.37319764191034,0.3579701710374536,5.006916604844324,10.419753587878372
3.6,0.5,1.4000000000000004,0.4,0.2,0.30000000000000004,0.1,392.2790402875104,0.3794570018903585,5.41223502058287,10.810644786843747
3.7,0.5,1.0,0.4,0.5000000000000001,0.2,0.1,392.82071342158434,0.38074923506795816,5.585092423309892,11.078855893529187
3.6,0.1,1.0,0.30000000000000004,0.4000000000000001,0.2,0.0,392.8101853060536,0.3818020466210271,5.615740048009996,11.115408458972192
3.7,0.1,1.0,0.2,0.2,0.2,0.0,392.89170653783475,0.3935032340942655,6.008776656191328,11.602895294415141
3.6,0.5,1.1,0.4,0.2,0.2,0.0,391.6851107063937,0.4304433566948546,6.8923488239055954,12.545017669186363
