Cu,Mn,Mg,Fe,Si,Zn,Zr,mean_sum,standard_deviation,ei_ego
3.7,0.30000000000000004,1.2000000000000002,0.4,0.4000000000000001,0.1,0.0,379.0376830293681,0.34037670237547674,2.0279015445129085
3.7,0.30000000000000004,1.0,0.4,0.30000000000000004,0.30000000000000004,0.0,383.55736374165537,0.31354973955656645,2.04104874927872
4.200000000000001,0.1,1.2000000000000002,0.1,0.4000000000000001,0.30000000000000004,0.1,403.2817025824845,0.1850156887642584,2.060080776528084
4.200000000000001,0.4,1.1,0.1,0.30000000000000004,0.2,0.1,402.53468466413767,0.19195549398764344,2.105222144717924
3.8,0.1,1.4000000000000004,0.4,0.2,0.1,0.1,384.153344866407,0.31378829367918115,2.1248704055440166
3.7,0.2,1.1,0.30000000000000004,0.2,0.1,0.1,382.7140879129781,0.3237921581359274,2.148402634947429
3.6,0.5,1.2000000000000002,0.4,0.5000000000000001,0.1,0.30000000000000004,379.1747954303302,0.3472937360477545,2.1861929974129666
3.7,0.5,1.3000000000000005,0.4,0.30000000000000004,0.0,0.0,378.730073411878,0.3596811747722654,2.389780520182285
3.6,0.2,1.1,0.4,0.4000000000000001,0.0,0.0,376.38314064248476,0.3749376956968206,2.4072282705518715
3.8,0.5,1.1,0.30000000000000004,0.2,0.1,0.30000000000000004,386.1435380621773,0.3171922535315673,2.4852169529388037
3.6,0.4,1.0,0.4,0.30000000000000004,0.1,0.0,376.07644718409983,0.3899774986348746,2.688779989365984
3.7,0.1,1.2000000000000002,0.4,0.5000000000000001,0.1,0.0,377.7736501017287,0.3859205933510737,2.8357982404244533
3.8,0.30000000000000004,1.3000000000000005,0.30000000000000004,0.2,0.0,0.2,386.342344610518,0.3370729083656386,2.9988747185532123
3.6,0.5,1.2000000000000002,0.4,0.5000000000000001,0.0,0.0,375.11194059907496,0.4136818703423728,3.0823758990496017
4.200000000000001,0.5,1.1,0.1,0.4000000000000001,0.2,0.1,402.79651372089586,0.22553037933842576,3.1512618657010942
3.8,0.30000000000000004,1.1,0.30000000000000004,0.2,0.1,0.1,386.6366439427532,0.35015814084608793,3.3844827466823473
